,RM1,RM2,RM3,RM4,RM5,RM6,RM7
ASV_101652,0.046426409,0.03393557,0.071025715,0.050218271,0.039703024,0.087531466,0.073128764
ASV_22229,0.015071854,0.009846095,0.015645413,0.015199312,0.011025077,0.013956601,0.015677278
ASV_152131,0.011949144,0.008316605,0.013606092,0.012905076,0.009718637,0.009973553,0.01503999
ASV_42790,0.006595928,0.006404741,0.006564063,0.004875251,0.003696269,0.005831182,0.004301692
ASV_29400,0.008826435,0.005098302,0.006627792,0.006436606,0.006914572,0.006341013,0.005671861
ASV_134592,0.005225759,0.004365421,0.004875251,0.005034573,0.00544881,0.004046777,0.004397285
ASV_168903,0.001147118,0.001497626,0.001688812,0.001497626,0.002039321,0.000732881,0.003600676
ASV_154458,0.003473218,0.009814231,0.002453558,0.002931523,0.0023261,0.003154574,0.002772202
ASV_232519,0.003855591,0.005321352,0.003696269,0.002453558,0.003951184,0.002931523,0.002963388
ASV_221622,0.003473218,0.003600676,0.002772202,0.002708473,0.006117962,0.002676608,0.002517286
ASV_193579,0.003759997,0.00414237,0.003568811,0.003887455,0.003664404,0.003313896,0.003759997
ASV_248800,0.004014913,0.002995252,0.002867795,0.003282032,0.004110506,0.00312271,0.002485422
ASV_17313,0.003536947,0.003090845,0.004046777,0.004524743,0.003855591,0.003058981,0.004779658
ASV_203094,0.002772202,0.010483383,0.002421693,0.002899659,0.002230507,0.002517286,0.003090845
ASV_227839,0.002963388,0.007073894,0.00261288,0.002867795,0.002262371,0.002644744,0.002581015
ASV_230112,0.003536947,0.003791862,0.00283593,0.002294236,0.004811522,0.002740337,0.00261288
ASV_10571,0.004684065,0.004046777,0.002963388,0.002644744,0.002166778,0.001752541,0.002549151
ASV_81114,0.002708473,0.003696269,0.003154574,0.003791862,0.002676608,0.003186439,0.003218303
ASV_137991,0.002198643,0.006818978,0.002517286,0.002676608,0.001720677,0.001911863,0.002549151
ASV_16470,0.00363254,0.001338304,0.002931523,0.003154574,0.002581015,0.002517286,0.002039321
ASV_213517,0.002389829,0.004907115,0.001370169,0.002357965,0.002230507,0.002262371,0.002740337
ASV_178271,0.002262371,0.001370169,0.002708473,0.002166778,0.002772202,0.002039321,0.002103049
ASV_218721,0.002644744,0.00261288,0.003441354,0.003759997,0.00130644,0.001625084,0.003473218
ASV_225252,0.002581015,0.003473218,0.002007456,0.002804066,0.00283593,0.002134914,0.002294236
ASV_51728,0.002198643,0.002453558,0.002230507,0.002198643,0.001879999,0.002262371,0.001625084
