Source,Target,Weight
ASV_93649,ASV_99896,-0.906944019
ASV_66374,ASV_99896,-0.921380208
ASV_240097,ASV_99896,-0.570035505
ASV_22847,ASV_99896,-0.969530586
ASV_54496,ASV_98676,-0.8921825
ASV_161138,ASV_97714,-0.943257819
ASV_17313,ASV_97579,-0.852042692
ASV_145176,ASV_96454,-0.921356
ASV_42852,ASV_96432,-0.955417061
ASV_199464,ASV_96432,-0.914937082
ASV_230433,ASV_94341,-0.906107841
ASV_201526,ASV_94049,-0.915189165
ASV_80122,ASV_93649,-0.970543633
ASV_227839,ASV_93649,-0.24844821
ASV_193579,ASV_93649,-0.903431977
ASV_163361,ASV_93649,-0.526128004
ASV_127515,ASV_93649,-0.953067921
ASV_227839,ASV_93109,-0.793202657
ASV_203094,ASV_93109,-0.786365862
ASV_182560,ASV_93109,-0.940075436
ASV_154458,ASV_93109,-0.041369619
ASV_137991,ASV_93109,-0.960588334
ASV_129568,ASV_93109,-0.076197332
ASV_117829,ASV_93109,-0.245861875
ASV_93757,ASV_9304,-0.847107756
ASV_191482,ASV_9304,-0.9072745
ASV_177177,ASV_9304,-0.405079001
ASV_111388,ASV_9304,-0.730473755
ASV_96432,ASV_9294,-0.469416769
ASV_230614,ASV_9294,-0.867928734
ASV_193135,ASV_9294,-0.860851238
ASV_66201,ASV_91995,-0.950715592
ASV_224222,ASV_91995,-0.8927195
ASV_161793,ASV_91995,-0.164909477
ASV_26664,ASV_91593,-0.614408616
ASV_223563,ASV_91593,-0.940761158
ASV_144605,ASV_91593,-0.94948623
ASV_93649,ASV_91539,-0.98960762
ASV_8101,ASV_91539,-0.96574105
ASV_66374,ASV_91539,-0.189198557
ASV_54817,ASV_91539,-0.943586176
ASV_54044,ASV_91539,-0.873587653
ASV_32788,ASV_91539,-0.948485601
ASV_206717,ASV_91539,-0.180138994
ASV_136795,ASV_91539,-0.823744811
ASV_134680,ASV_91539,-0.945039379
ASV_126082,ASV_91539,-0.891197576
ASV_37003,ASV_91097,-0.887857
ASV_157804,ASV_91097,-0.954041095
ASV_99210,ASV_90455,-0.891603
ASV_97579,ASV_90455,-0.899893535
ASV_134812,ASV_90455,-0.461889138
ASV_225252,ASV_89507,-0.85653112
ASV_193579,ASV_89507,-0.985135536
ASV_182560,ASV_89507,-0.505424973
ASV_242302,ASV_88898,-0.895561953
ASV_143575,ASV_88743,-0.749442107
