,Group,protein,polysaccharide,pH,TN,SOC,AP,SWC,NO3_N,NH4_N,Acid,electric conductivity,Na_soil,K_soil,CN
RM1,RMC,690.625,547.3452064,6.88,2.279526667,39.10361689,34.43113772,0.228907659,7.868373397,19.80227681,820.91802,1.13,0.155075,0.0109,17.15427043
RM2,RMC,684.3250666,591.8442077,6.92,2.463944334,41.80710323,68.5286783,0.246031746,7.940002157,22.4985021,590.5792892,1.02,0.171978503,0.010873641,16.96755185
RM3,RMC,659.5561292,498.7341772,6.93,2.418115768,45.75267045,53.2,0.25268076,9.130892941,22.82543491,4909.533507,1.05,0.180514614,0.008018986,18.92079405
RM4,RMC,673.7940785,604.7987359,6.94,2.450782435,43.42586173,56.47410359,0.250583431,40.69556652,25.69916101,543.0519497,1.17,0.209696364,0.010471073,17.7191827
RM5,RMC,659.146951,538.9870043,6.98,2.467259701,50.06041319,73.75249501,0.263800425,7.125781702,20.00599281,4108.361446,0.95,0.157401624,0.010518426,20.28988402
RM6,RMC,628.4514305,360.2129075,6.99,2.236646707,58.2232728,63.67713004,0.255029006,4.614573986,21.50849151,2194.488842,0.93,0.129092727,0.010222444,26.03150181
RM7,RMC,706.3789947,618.5502663,7,2.542522954,53.89994407,61.35458167,0.471945701,4.745798003,21.59544728,2194.488842,0.83,0.123672705,0.008619613,21.1993933
RM8,RML,694.1763727,542.7204659,6.95,2.394416667,50.26549022,77.7,0.247937894,43.31934554,16.62335066,255.3167461,1.54,0.799550393,0.00929187,20.99279165
RM9,RML,686.957972,517.2281521,6.95,2.339381854,46.96423267,55.50572995,0.240512306,41.06371112,17.03,255.3167461,1.51,0.77207849,0.008198975,20.07548814
RM10,RML,652.4017649,471.8531469,6.95,2.314256,48.90663888,61.93806194,0.239758059,43.09422183,18.92243103,115.1722745,1.44,0.83824044,0.006823294,21.13276962
RM11,RML,625.7198735,458.3472037,6.93,2.413316103,50.93794813,72.05588822,0.265861803,33.28137958,18.51148851,783.9331702,1.69,0.869156777,0.009294191,21.10703528
RM12,RML,617.1037296,405.0865801,6.92,2.360589641,45.78052867,58.36653386,0.261705026,37.03870586,17.92641472,108.3441358,1.51,0.782931401,0.008396851,19.39368362
RM13,RML,656.5721649,471.2254739,6.93,2.420818272,48.45593899,65.96701649,0.282708298,45.22413714,19.59864217,124.4681218,1.47,0.776061969,0.006821589,20.01634718
RM14,RML,620.8832834,484.3573094,6.95,2.28634965,42.0671156,67.998003,0.232118984,36.4946484,19.23,144.666028,1.39,0.727743064,0.008847788,18.3992486
RM15,RMH,662.8658131,604.5976056,6.93,2.552745763,52.20464319,67.62948207,0.333084239,54.73452649,19.00719137,320.5026513,1.96,1.279020367,0.008196926,20.45038873
RM16,RMH,562.7702029,400.0997672,6.96,2.452277778,53.78591234,76.4,0.292676403,44.65936904,19.50269623,1483.112458,1.61,1.0137,0.009175,21.93304235
RM17,RMH,590.9034242,473.7452523,6.95,2.407111111,48.97816965,82.21778222,0.295503013,52.38860468,17.41954827,868.3756193,1.70 ,1.031447483,0.009566629,20.34728244
RM18,RMH,643.1489185,667.2712146,6.91,2.343776224,51.22994529,70.02493766,0.287924205,54.66134271,19.20695166,5646.488086,1.94,1.120249844,0.009144285,21.85786543
